IP,端口,域名,IP标签,url,网站标题,高危协议,协议,通讯协议,网站状态码,应用/组件,操作系统,备案单位,备案号,备案异常,资产标签,国家,省份,市区,探查时间,Web资产,运营商,注册机构,证书SHA256
175.6.28.167,4433,lgdyf.hcyy.com,,https://lgdyf.hcyy.com:4433,SSLVPN登录,,https,tcp,200,,,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,,,中国,湖南省,长沙市,2024-02-04,是,中国电信,中国电信,b9c17766bdbd48525363a6982e49ad7af0c541144d556fac3eee2904a2a94dc8
101.227.27.54,443,www.qaxc.cn,,https://www.qaxc.cn,奇安星城,,https,tcp,200,"Nginx/1.20.1,Node.js,Nuxt.js,Vue.js",,,,,,中国,上海市,上海市,2024-02-04,是,中国电信,中国电信,3c200ef94d25560571404aefd32e8f42ac082955a513e81475b19915ce20e253
101.227.27.54,443,qaxc.cn,,https://qaxc.cn,奇安星城,,https,tcp,200,"Node.js,Vue.js,Nuxt.js,Nginx/1.20.1",,,,,,中国,上海市,上海市,2024-02-04,是,中国电信,中国电信,3c200ef94d25560571404aefd32e8f42ac082955a513e81475b19915ce20e253
101.227.27.54,80,qaxc.cn,,http://qaxc.cn,奇安星城,,http,tcp,200,"Vue.js,Nginx/1.20.1,Node.js,Nuxt.js",,,,,,中国,上海市,上海市,2024-02-03,是,中国电信,中国电信,
101.227.27.54,80,www.qaxc.cn,,http://www.qaxc.cn,奇安星城,,http,tcp,200,,,,,,,中国,上海市,上海市,2024-02-03,是,中国电信,中国电信,
175.6.28.167,8899,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:8899,MidService Web 服务,,http,tcp,200,"Windows Server,Microsoft ASP.NET/4.0.30319,IIS/10.0",Windows,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-02,是,中国电信,中国电信,
175.6.28.167,9443,lgdyf.hcyy.com,,https://lgdyf.hcyy.com:9443,NSFOCUS,,https,tcp,200,"Prototype,jQuery,NSFOCUS 绿盟 Firewall",,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-02,是,中国电信,中国电信,b9c17766bdbd48525363a6982e49ad7af0c541144d556fac3eee2904a2a94dc8
175.6.28.167,7070,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:7070,Message HTTP Binding Service,,http,tcp,200,,,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-01,是,中国电信,中国电信,
175.6.28.167,8999,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:8999,移动管理平台-企业管理,,http,tcp,200,泛微 e-Mobile 移动管理平台,,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-01,是,中国电信,中国电信,
175.6.28.167,443,lgdyf.hcyy.com,,https://lgdyf.hcyy.com,,,https,tcp,200,"Vue.js/2.6.10,Nginx,Lua,OpenResty",,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-01,是,中国电信,中国电信,13322fea23fb1223bbe89733a6ae690b49430efd1ae5e4ea329b8e24b647cd14
175.6.28.167,9081,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:9081,运维平台,,http,tcp,200,"Resin/weaver1000,Java",,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-01,是,中国电信,中国电信,
175.6.28.167,4430,lgdyf.hcyy.com,,https://lgdyf.hcyy.com:4430,用户认证 - NSFOCUS NF,,https,tcp,200,"jQuery/3.5.0,Bootstrap",,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-02-01,是,中国电信,中国电信,b9c17766bdbd48525363a6982e49ad7af0c541144d556fac3eee2904a2a94dc8
175.6.28.167,8889,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:8889,MidService Web 服务,,http,tcp,200,"Microsoft ASP.NET/4.0.30319,Windows Server,IIS/10.0",Windows,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-01-25,是,中国电信,中国电信,
175.6.28.167,9181,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:9181,电子签署平台管理后台,,http,tcp,200,,,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-01-21,是,中国电信,中国电信,
175.6.28.167,7789,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:7789,Home Page,,http,tcp,200,"jQuery/3.4.1,Windows Server,Microsoft ASP.NET/4.0.30319,IIS/10.0",Windows,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-01-20,是,中国电信,中国电信,
175.6.28.167,9180,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:9180,湖南恒昌医药电子签约管理控制台,,http,tcp,200,,,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,页面无备案号,,中国,湖南省,长沙市,2024-01-18,是,中国电信,中国电信,
175.6.28.167,8603,lgdyf.hcyy.com,,http://lgdyf.hcyy.com:8603,MidService Web 服务,,http,tcp,200,,,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,,,中国,湖南省,长沙市,2023-09-09,是,中国电信,中国电信,
175.6.28.167,80,lgdyf.hcyy.com,,http://lgdyf.hcyy.com,Sorry,,http,tcp,200,"jQuery/1.11.0,Lua,OpenResty,Nginx",,湖南恒昌医药集团股份有限公司,湘ICP备16006387号-2,,,中国,湖南省,长沙市,2023-04-20,是,中国电信,中国电信,
